"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"4/28/2019","7652636","1556410169","170811932762","2.2.10"
"4/29/2019","7659025","1556496577","171173451496","2.2.10"
"4/30/2019","7665482","1556582976","171233242932","2.2.10"
"5/1/2019","7671906","1556669402","171685999359","2.2.10"
"5/2/2019","7678364","1556755787","171962782265","2.2.10"
"5/3/2019","7684789","1556842158","172063825949","2.2.10"
"5/4/2019","7691138","1556928600","173615799081","2.2.10"
"5/5/2019","7697827","1557017198","172979499090","2.2.10"
"5/6/2019","7704050","1557101377","172927272491","2.4.5"
"5/7/2019","7710407","1557187762","173289652040","2.4.5"
"5/8/2019","7716799","1557274171","173560533531","2.4.5"
"5/9/2019","7723148","1557360598","173816469937","2.4.5"
"5/10/2019","7729500","1557446928","174083660871","2.4.5"
"5/11/2019","7735940","1557533399","174479434881","2.4.5"
"5/12/2019","7742341","1557619798","174673460515","2.4.5"
"5/13/2019","7748797","1557706190","174935003651","2.4.5"
"5/14/2019","7755242","1557793827","175365421356","2.4.5"
"5/15/2019","7761626","1557878947","175577370693","2.4.5"
"5/16/2019","7768084","1557965359","175926637204","2.4.5"
"5/17/2019","7774424","1558051780","176826706424","2.4.5"
"5/18/2019","7780870","1558138196","176624139458","2.4.5"
"5/19/2019","7787274","1558224585","176982574071","2.4.5"
"5/20/2019","7793659","1558310980","177287417264","2.4.5"
"5/21/2019","7800002","1558397362","177700822411","2.4.5"
"5/22/2019","7806339","1558483799","177974212608","2.4.5"
"5/23/2019","7812739","1558570186","178319597520","2.4.5"
"5/24/2019","7819073","1558656561","178721757939","2.4.5"
"5/25/2019","7825468","1558742984","179084216954","2.4.5"
"5/26/2019","7831991","1558829391","179497460170","2.4.5"
"5/27/2019","7838421","1558915782","179608461951","2.4.5"
"5/28/2019","7844818","1559002196","180113584783","2.4.5"
"5/29/2019","7851152","1559088576","180380645240","2.4.5"
"5/30/2019","7857691","1559174988","180647728125","2.4.5"
"5/31/2019","7863995","1559261385","181100888563","2.4.5"
"6/1/2019","7870462","1559347777","181325168641","2.4.5"
"6/2/2019","7876839","1559434187","181642858408","2.4.5"
"6/3/2019","7883222","1559520597","183177884393","2.4.5"
"6/4/2019","7889538","1559606904","183661297317","2.4.5"
"6/5/2019","7895948","1559693400","182640044808","2.4.5"
"6/6/2019","7902349","1559779793","182959466067","2.4.5"
"6/7/2019","7908791","1559866188","183326792537","2.4.5"
"6/8/2019","7915140","1559952576","183610451961","2.4.5"
"6/9/2019","7921483","1560038974","183846911533","2.4.5"
"6/10/2019","7927840","1560125402","185271671736","2.4.5"
"6/11/2019","7934307","1560211782","184662495637","2.4.5"
"6/12/2019","7940679","1560298194","185154065020","2.4.5"
"6/13/2019","7947059","1560384553","185237155617","2.4.5"
"6/14/2019","7953466","1560470967","185569232908","2.4.5"
"6/15/2019","7959879","1560557352","185886401735","2.4.5"
"6/16/2019","7966242","1560643782","186229895439","2.4.5"
"6/17/2019","7972678","1560730192","186665260190","2.4.5"
"6/18/2019","7979059","1560816594","186639277549","2.4.5"
"6/19/2019","7985433","1560902971","187123744575","2.4.5"
"6/20/2019","7991836","1560989401","187480583423","2.4.5"
"6/21/2019","7998224","1561075792","187728842750","2.4.5"
"6/22/2019","8004556","1561162171","188150249849","2.4.5"
"6/23/2019","8011034","1561248594","188580607468","2.4.5"
"6/24/2019","8017414","1561334982","188748052492","2.4.5"
"6/25/2019","8023862","1561421389","189156150403","2.4.5"
"6/26/2019","8030280","1561507797","189372626745","2.4.5"
"6/27/2019","8036706","1561594191","189776912721","2.4.5"
"6/28/2019","8043091","1561680541","190116720273","2.4.5"
"6/29/2019","8049478","1561766987","190399910353","2.4.5"
"6/30/2019","8055908","1561853382","190648493277","2.4.5"
"7/1/2019","8062339","1561939782","190989092142","2.4.5"
"7/2/2019","8068757","1562026174","191222746849","2.4.5"
"7/3/2019","8075174","1562112582","191673363210","2.4.5"
"7/4/2019","8081571","1562198981","191913093458","2.4.5"
"7/5/2019","8087987","1562285387","192643003475","2.4.5"
"7/6/2019","8094372","1562371783","192523569986","2.4.5"
"7/7/2019","8100834","1562458166","192752954373","2.4.5"
"7/8/2019","8107330","1562544584","193027909670","2.4.9"
"7/9/2019","8113762","1562630980","193541387402","2.4.9"
"7/10/2019","8120195","1562717406","195159420340","2.4.9"
"7/11/2019","8126602","1562803794","194146267455","2.4.9"
"7/12/2019","8133031","1562890156","194557298115","2.5.5"
"7/13/2019","8139384","1562976580","195881102301","2.5.5"
"7/14/2019","8145818","1563062997","196583197723","2.5.5"
"7/15/2019","8152343","1563149382","195540476356","2.5.5"
"7/16/2019","8158681","1563235795","195704722971","2.5.5"
"7/17/2019","8165005","1563322186","197359910560","2.5.5"
"7/18/2019","8171374","1563408598","196233639868","2.5.5"
"7/19/2019","8177862","1563494986","197855598231","2.5.5"
"7/20/2019","8184219","1563581319","196626534060","2.5.5"
